States_Union Territories,2020-21-GSDP,2011-census-LIT-rate,2011-census-POP,2020-21-UNEMP,2011-census-Poverty-rate
Andaman and Nicobar Islands,72657400000,86.63,381000,106,1
Andhra Pradesh,6703215000000,67.02,49581000,60,9.2
Arunachal Pradesh,188672400000,65.39,1384000,106,34.67
Assam,2284633500000,72.19,31206000,78,31.98
Bihar,3857282042000,61.8,104099000,96,33.74
Chandigarh,278702500000,86.05,1055000,77,21.81
Chhattisgarh,2454516600000,70.28,25545000,63,39.93
Delhi,5646692000000,76.24,16788000,63,9.91
Goa,533600600000,87.1,1459000,109,5.09
Gujarat,12481891200000,86.21,60440000,46,16.63
Haryana,5362256000000,88.7,25351000,81,11.16
Himachal Pradesh,1148137500000,78.03,6865000,69,8.06
Jammu and Kashmir,1126280300000,75.55,12541000,133,10.35
Jharkhand,2189621100000,82.8,32988000,93,36.96
Karnataka,11438733900000,67.16,61095000,38,20.91
Kerala,5143999900000,66.41,33406000,116,7.05
Madhya Pradesh,5645143700000,75.37,72627000,47,31.65
Maharashtra,18893066600000,94,112374000,65,17.35
Manipur,207674800000,91.85,2856000,99,36.89
Meghalaya,237506600000,69.32,2967000,71,11.87
Mizoram,144173900000,82.34,1097000,44,20.4
Nagaland,179916100000,76.9,1979000,240,18.88
Odisha,3814703300000,74.43,41974000,78,32.59
Puducherry,257400600000,91.33,1248000,72,9.69
Punjab,3997803800000,79.6,27743000,61,8.26
Rajasthan,6601177900000,72.89,68548000,102,14.71
Sikkim,190399200000,85.85,611000,30,8.19
Tamil Nadu,12455951500000,75.84,72147000,58,11.28
Telangana,6099273300000,66.54,35000000,77,13.74
Tripura,372442300000,81.42,3674000,46,14.05
Uttar Pradesh,10773918600000,80.09,199812000,80,29.43
Uttarakhand,1789118500000,87.22,10086000,105,11.26
West Bengal,7927200900000,67.68,91276000,44,19.98
